id,key,value,ruleElement,version
RuleParameterData|1,CONDITION_ORDERLINE_PREVIOUS_STATUS,ALLOCATED,RuleConditionsData|1,1
RuleParameterData|2,CONDITION_ORDERLINE_CURRENT_STATUS,SHIPPED,RuleConditionsData|1,1
RuleParameterData|3,ACTION_INVENTORY_STATUS,ON_HAND,RuleActionData|1,1
RuleParameterData|4,ACTION_INVENTORY_POSITIVE,FALSE,RuleActionData|1,1
RuleParameterData|5,ACTION_INVENTORY_STRATEGY,OLQ_QUANTITY,RuleActionData|1,1
RuleParameterData|6,CONDITION_ORDERLINE_PREVIOUS_STATUS,PICKED,RuleConditionsData|2,1
RuleParameterData|7,CONDITION_ORDERLINE_CURRENT_STATUS,SHIPPED,RuleConditionsData|2,1
RuleParameterData|8,ACTION_INVENTORY_STATUS,ON_HAND,RuleActionData|2,1
RuleParameterData|9,ACTION_INVENTORY_POSITIVE,FALSE,RuleActionData|2,1
RuleParameterData|10,ACTION_INVENTORY_STRATEGY,OLQ_QUANTITY,RuleActionData|2,1
RuleParameterData|11,CONDITION_ORDERLINE_PREVIOUS_STATUS,PACKED,RuleConditionsData|3,1
RuleParameterData|12,CONDITION_ORDERLINE_CURRENT_STATUS,SHIPPED,RuleConditionsData|3,1
RuleParameterData|13,ACTION_INVENTORY_STATUS,ON_HAND,RuleActionData|3,1
RuleParameterData|14,ACTION_INVENTORY_POSITIVE,FALSE,RuleActionData|3,1
RuleParameterData|15,ACTION_INVENTORY_STRATEGY,OLQ_QUANTITY,RuleActionData|3,1
RuleParameterData|16,CONDITION_ORDERLINE_PREVIOUS_STATUS,ALLOCATED,RuleConditionsData|4,1
RuleParameterData|17,CONDITION_ORDERLINE_CURRENT_STATUS,DECLINED,RuleConditionsData|4,1
RuleParameterData|18,ACTION_INVENTORY_STATUS,NOT_AVAILABLE,RuleActionData|4,1
RuleParameterData|19,ACTION_INVENTORY_POSITIVE,TRUE,RuleActionData|4,1
RuleParameterData|20,ACTION_INVENTORY_STRATEGY,OLQ_QUANTITY_MAX_VALUE,RuleActionData|4,1
RuleParameterData|21,CONDITION_ORDERLINE_PREVIOUS_STATUS,PICKED,RuleConditionsData|5,1
RuleParameterData|22,CONDITION_ORDERLINE_CURRENT_STATUS,DECLINED,RuleConditionsData|5,1
RuleParameterData|23,ACTION_INVENTORY_STATUS,NOT_AVAILABLE,RuleActionData|5,1
RuleParameterData|24,ACTION_INVENTORY_POSITIVE,TRUE,RuleActionData|5,1
RuleParameterData|25,ACTION_INVENTORY_STRATEGY,OLQ_QUANTITY_MAX_VALUE,RuleActionData|5,1
RuleParameterData|26,CONDITION_ORDERLINE_PREVIOUS_STATUS,PACKED,RuleConditionsData|6,1
RuleParameterData|27,CONDITION_ORDERLINE_CURRENT_STATUS,DECLINED,RuleConditionsData|6,1
RuleParameterData|28,ACTION_INVENTORY_STATUS,NOT_AVAILABLE,RuleActionData|6,1
RuleParameterData|29,ACTION_INVENTORY_POSITIVE,TRUE,RuleActionData|6,1
RuleParameterData|30,ACTION_INVENTORY_STRATEGY,OLQ_QUANTITY_MAX_VALUE,RuleActionData|6,1
RuleParameterData|31,CONDITION_ORDERLINE_PREVIOUS_STATUS,TAX_INVOICED,RuleConditionsData|7,1
RuleParameterData|32,CONDITION_ORDERLINE_CURRENT_STATUS,SHIPPED,RuleConditionsData|7,1
RuleParameterData|33,ACTION_INVENTORY_STATUS,ON_HAND,RuleActionData|7,1
RuleParameterData|34,ACTION_INVENTORY_POSITIVE,FALSE,RuleActionData|7,1
RuleParameterData|35,ACTION_INVENTORY_STRATEGY,OLQ_QUANTITY,RuleActionData|7,1
RuleParameterData|36,CONDITION_ORDERLINE_PREVIOUS_STATUS,PAYMENT_CAPTURED,RuleConditionsData|8,1
RuleParameterData|37,CONDITION_ORDERLINE_CURRENT_STATUS,SHIPPED,RuleConditionsData|8,1
RuleParameterData|38,ACTION_INVENTORY_STATUS,ON_HAND,RuleActionData|8,1
RuleParameterData|39,ACTION_INVENTORY_POSITIVE,FALSE,RuleActionData|8,1
RuleParameterData|40,ACTION_INVENTORY_STRATEGY,OLQ_QUANTITY,RuleActionData|8,1
