id,creationTime,modifiedTime,owner,statusCode,expectedDeliveryDate,quantityUnitCode,quantityValue,version
CurrentItemQuantityData|00027927-dc74-48d8-8388-591794ae7f66,2013-05-28 13:46:17:000 +0200,2013-05-28 13:46:17:000 +0200,ItemLocationData|60d8a4d6-986d-4663-a56e-65466bf73521,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|0002da80-56ea-4d2f-9756-881e7bf7958f,2013-05-28 13:46:21:000 +0200,2013-05-28 13:46:21:000 +0200,ItemLocationData|ac3826b1-227c-4259-8a38-454bcddea3a8,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|0013e12b-e3c4-4b8b-9931-1ac083a95efd,2013-05-28 13:46:12:000 +0200,2013-05-28 13:46:12:000 +0200,ItemLocationData|b9d4666b-a9b4-43bf-802c-366d3e258403,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|0018aa61-8fec-4886-bc7d-28c00a880248,2013-05-28 13:46:11:000 +0200,2013-05-28 13:46:11:000 +0200,ItemLocationData|1b8fad38-308b-4a2c-9254-03a3aaf48985,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|001ac2a7-8740-4cc8-bf2c-2798a20c3580,2013-05-28 13:46:03:000 +0200,2013-05-28 13:46:03:000 +0200,ItemLocationData|092888b2-4e12-4ffd-aefd-99d28cf24043,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|0022f61a-8fbc-47fd-8889-9965e8bf755d,2013-05-28 13:46:47:000 +0200,2013-05-28 13:46:47:000 +0200,ItemLocationData|f54a3772-acee-4c0a-b6b3-2e1f5d4cab9c,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|002cafbc-3281-46e7-9084-8b923bc0b592,2013-05-28 13:46:49:000 +0200,2013-05-28 13:46:49:000 +0200,ItemLocationData|cf353ef3-84f1-4ca6-ad4b-566e9ef58136,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|002d61a4-2938-4b19-87d5-e21f5c508593,2013-05-28 13:46:36:000 +0200,2013-05-28 13:46:36:000 +0200,ItemLocationData|2c679806-ffe1-4aa5-86d3-f71ddfc0a0bc,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|0033a0e8-d1f5-4786-ac3b-237b3fddeb97,2013-05-28 13:46:09:000 +0200,2013-05-28 13:46:09:000 +0200,ItemLocationData|985aa600-4762-42bb-b473-4ed50feeb364,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|003444e0-a5e4-48eb-8cb4-c951d399170a,2013-05-28 13:46:40:000 +0200,2013-05-28 13:46:40:000 +0200,ItemLocationData|84459c9f-a530-4f14-ab8e-4ea52aec0ce2,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|00361595-6b59-400d-9d5b-b6c998d5308f,2013-05-28 13:46:45:000 +0200,2013-05-28 13:46:45:000 +0200,ItemLocationData|8dc3f31b-ae5d-4c33-8e61-38435ea7cab1,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|0040aa9a-d9b5-48d0-9f2c-a339b8cd5e0e,2013-05-28 13:46:46:000 +0200,2013-05-28 13:46:46:000 +0200,ItemLocationData|a5685f87-6404-4151-be04-6a52c6058f92,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|004276b0-6e16-49b2-b9e0-26a680354bda,2013-05-28 13:46:28:000 +0200,2013-05-28 13:46:28:000 +0200,ItemLocationData|a69814cd-ef59-4a9e-bb1c-27bca05eff58,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|004add8d-111d-4335-9026-7a9bd843f77d,2013-05-28 13:46:06:000 +0200,2013-05-28 13:46:06:000 +0200,ItemLocationData|136667ea-80fe-4057-b116-9096b8ef779b,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|004d71df-5a5d-46cc-b884-9b8eeba0a1fc,2013-05-28 13:46:24:000 +0200,2013-05-28 13:46:24:000 +0200,ItemLocationData|4776f7be-97ef-4f46-9c8e-7a6a0627322d,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
