itemId,stockroomLocation,future,bin,version,id,creationTime,modifiedTime
3789394,StockroomLocationData|4b555f85-0940-4490-af5c-c9d24bef1b35,false,BinData|eacc8aae-3ea7-41aa-9816-55dab286a2d8,1,ItemLocationData|00093e69-dd2e-42a1-82fb-21fa621145d6,2013-05-28 13:45:59:000 +0200,2013-05-28 13:45:59:000 +0200
472057,StockroomLocationData|a20cf24e-d324-4297-9e72-bd43a51bdc71,false,BinData|a9acad6e-e89c-42f4-b565-f18ba1b6dd04,1,ItemLocationData|000f73d0-f131-4998-a1e9-c27e4042bffe,2013-05-28 13:46:39:000 +0200,2013-05-28 13:46:39:000 +0200
325715,StockroomLocationData|643f0ea1-74e6-4747-b278-87f2d74b28cd,false,BinData|322cbdf3-1774-4117-8de5-7c24af666989,1,ItemLocationData|001be222-6a9e-4506-88f4-308e78b6b5a3,2013-05-28 13:45:59:000 +0200,2013-05-28 13:45:59:000 +0200
1366053,StockroomLocationData|6891151b-dd09-4eb0-a517-29e6aa160d1e,false,BinData|8a112d10-3132-4cec-b8b3-ce2fd4ff0e0b,1,ItemLocationData|002f25af-3a4a-4688-9cf2-f6c7fa2aa445,2013-05-28 13:46:07:000 +0200,2013-05-28 13:46:07:000 +0200
443175,StockroomLocationData|6891151b-dd09-4eb0-a517-29e6aa160d1e,false,BinData|8a112d10-3132-4cec-b8b3-ce2fd4ff0e0b,1,ItemLocationData|00327af9-11d1-4fdb-b51c-5bd3998f2768,2013-05-28 13:46:07:000 +0200,2013-05-28 13:46:07:000 +0200
1494590,StockroomLocationData|aaec9183-ba68-469b-bdec-785a2b7df847,false,BinData|42e04d5b-52fb-45a3-9e74-81b7a4847b59,1,ItemLocationData|0038762b-bd59-405f-b452-742baa00976c,2013-05-28 13:46:34:000 +0200,2013-05-28 13:46:34:000 +0200
325101,StockroomLocationData|cb41fb9c-2f7e-47fe-be7d-39c28ec38f13,false,BinData|87b547fa-21c7-4d14-a1e0-4cffa2338bf6,1,ItemLocationData|0047fecb-50c8-4640-8626-f9cfdb83c026,2013-05-28 13:46:24:000 +0200,2013-05-28 13:46:24:000 +0200
2054948,StockroomLocationData|9314cf04-634b-4678-a04a-24cc96133f50,false,BinData|bac24dc6-7598-4053-a00f-434eadfe2deb,1,ItemLocationData|004f173c-817b-4d13-93ea-7eac9b931b98,2013-05-28 13:46:01:000 +0200,2013-05-28 13:46:01:000 +0200
2934297,StockroomLocationData|28332e9d-05c4-44ac-b717-ab8a467f2047,false,BinData|616cd0b0-06ab-46e1-9fbe-d26d2d2143ae,1,ItemLocationData|005529b0-22d0-4f4e-8fb3-a825287fc1be,2013-05-28 13:46:06:000 +0200,2013-05-28 13:46:06:000 +0200
473765,StockroomLocationData|1e7bb275-25b4-4935-bfa3-8084d9edb78d,false,BinData|b9598728-0f09-43da-b329-ea0d93eaeab6,1,ItemLocationData|0059d243-78a5-4c03-a317-14d24efff85e,2013-05-28 13:46:10:000 +0200,2013-05-28 13:46:10:000 +0200
1997551,StockroomLocationData|277a8751-4c18-441b-856d-651cbe762dbf,false,BinData|d45ecd88-2889-4a26-a444-5eb104f837ca,1,ItemLocationData|005cc55a-bd1b-48a9-aec8-922acbd4b6f4,2013-05-28 13:46:30:000 +0200,2013-05-28 13:46:30:000 +0200
